"gene_type" "gene_name"
"52192" "protein_coding" "TXLNA"
"52245" "protein_coding" "CCDC28B"
"52311" "lncRNA" "AL049795.1"
"52320" "protein_coding" "IQCC"
"52356" "protein_coding" "DCDC2B"
"52387" "protein_coding" "TMEM234"
"52555" "protein_coding" "EIF3I"
"52628" "protein_coding" "FAM167B"
"52638" "protein_coding" "LCK"
"52870" "protein_coding" "HDAC1"
"52970" "protein_coding" "MARCKSL1"
"52980" "lncRNA" "AL109945.1"
"52984" "protein_coding" "TSSK3"
"53008" "protein_coding" "FAM229A"
"53034" "protein_coding" "BSDC1"
"53293" "protein_coding" "ZBTB8B"
"53307" "protein_coding" "ZBTB8A"
"53338" "protein_coding" "ZBTB8OS"
"53523" "protein_coding" "RBBP4"
"53822" "protein_coding" "SYNC"
"53865" "lncRNA" "AC114489.1"
"53869" "protein_coding" "KIAA1522"
"53947" "protein_coding" "YARS"
"54050" "protein_coding" "S100PBP"
"54179" "protein_coding" "FNDC5"
"54256" "protein_coding" "HPCA"
"54285" "protein_coding" "TMEM54"
"54340" "lncRNA" "AL031602.2"
"54345" "protein_coding" "RNF19B"
"54412" "lncRNA" "AL020995.1"
"54416" "protein_coding" "AK2"
"54629" "protein_coding" "AZIN2"
"54854" "protein_coding" "TRIM62"
"54893" "lncRNA" "AL662907.3"
"54900" "protein_coding" "ZNF362"
"54962" "lncRNA" "AL513327.3"
"54965" "protein_coding" "A3GALT2"
"54980" "lncRNA" "AL513327.1"
"55018" "protein_coding" "PHC2"
"55174" "lncRNA" "AL513327.2"
"55179" "protein_coding" "ZSCAN20"
"55219" "protein_coding" "CSMD2"
"55921" "protein_coding" "HMGB4"
"55951" "lncRNA" "CSMD2-AS1"
"56078" "protein_coding" "C1orf94"
"56117" "lncRNA" "AC099565.1"
"56121" "protein_coding" "SMIM12"
"56184" "protein_coding" "GJB5"
"56194" "protein_coding" "GJB4"
"56204" "lncRNA" "AL121988.1"
"56208" "protein_coding" "GJB3"
"56227" "protein_coding" "GJA4"
"56244" "lncRNA" "AL122010.1"
"56248" "protein_coding" "DLGAP3"
"56306" "protein_coding" "TMEM35B"
"56318" "protein_coding" "ZMYM6"
"56431" "protein_coding" "ZMYM1"
"56610" "lncRNA" "AL590434.1"
"56615" "protein_coding" "SFPQ"
"56706" "protein_coding" "ZMYM4"
"56848" "lncRNA" "ZMYM4-AS1"
"56852" "protein_coding" "KIAA0319L"
"57144" "protein_coding" "NCDN"
"57229" "lncRNA" "AC004865.2"
"57237" "protein_coding" "TFAP2E"
"57263" "protein_coding" "PSMB2"
"57302" "protein_coding" "C1orf216"
"57319" "protein_coding" "CLSPN"
"57547" "lncRNA" "AL354864.1"
"57551" "protein_coding" "AGO4"
"57600" "protein_coding" "AGO1"
"57724" "lncRNA" "AL139286.3"
"57728" "lncRNA" "AL139286.2"
"57731" "protein_coding" "AGO3"
"57904" "lncRNA" "AL138787.2"
"57912" "protein_coding" "TEKT2"
"57972" "protein_coding" "ADPRHL2"
"57990" "protein_coding" "COL8A2"
"58022" "protein_coding" "TRAPPC3"
"58138" "protein_coding" "MAP7D1"
"58331" "protein_coding" "THRAP3"
"58431" "protein_coding" "SH3D21"
"58572" "protein_coding" "EVA1B"
"58588" "lncRNA" "AL591845.1"
"58592" "protein_coding" "STK40"
"58722" "protein_coding" "LSM10"
"58740" "protein_coding" "OSCP1"
"58897" "protein_coding" "MRPS15"
"58931" "protein_coding" "CSF3R"
"59202" "lncRNA" "AL596257.1"
"59206" "lncRNA" "AC117945.2"
"59210" "lncRNA" "AC117945.1"
"59218" "protein_coding" "GRIK3"
"59299" "lncRNA" "AL031430.1"
"59303" "lncRNA" "AL353604.1"
"59319" "lncRNA" "LINC01137"
"59327" "protein_coding" "ZC3H12A"
"59370" "protein_coding" "MEAF6"
"59498" "protein_coding" "SNIP1"
"59533" "protein_coding" "DNALI1"
"59583" "protein_coding" "GNL2"
"59658" "lncRNA" "AL513220.1"
"59662" "protein_coding" "RSPO1"
"59739" "protein_coding" "C1orf109"
"59861" "protein_coding" "CDCA8"
"59914" "protein_coding" "EPHA10"
"60162" "protein_coding" "MANEAL"
"60220" "lncRNA" "AL929472.3"
"60224" "protein_coding" "YRDC"
"60240" "protein_coding" "C1orf122"
"60275" "protein_coding" "MTF1"
"60306" "lncRNA" "AL929472.2"
"60310" "protein_coding" "INPP5B"
"60596" "protein_coding" "SF3A3"
"60682" "protein_coding" "FHL3"
"60721" "protein_coding" "UTP11"
"60760" "protein_coding" "POU3F1"
"60768" "lncRNA" "MIR3659HG"
"60780" "lncRNA" "LINC02786"
"60787" "lncRNA" "AL390839.1"
"60792" "lncRNA" "AL390839.2"
"60796" "lncRNA" "LINC01343"
"60807" "lncRNA" "LINC01685"
"60869" "lncRNA" "AL354702.2"
"60882" "protein_coding" "RRAGC"
"60914" "lncRNA" "AL139260.1"
"60933" "protein_coding" "MYCBP"
"60972" "protein_coding" "GJA9"
"60989" "protein_coding" "RHBDL2"
"61043" "protein_coding" "AKIRIN1"
"61096" "protein_coding" "NDUFS5"
"61119" "protein_coding" "MACF1"
"62908" "lncRNA" "AL356055.1"
"62911" "lncRNA" "AL442071.2"
"62915" "lncRNA" "AL442071.1"
"62920" "protein_coding" "BMP8A"
"62940" "protein_coding" "PABPC4"
"63251" "lncRNA" "PABPC4-AS1"
"63262" "protein_coding" "HEYL"
"63278" "lncRNA" "AL035404.2"
"63282" "protein_coding" "NT5C1A"
"63299" "protein_coding" "HPCAL4"
"63339" "protein_coding" "PPIE"
"63593" "protein_coding" "BMP8B"
"63613" "protein_coding" "OXCT2"
"63621" "lncRNA" "BMP8B-AS1"
"63625" "lncRNA" "AL033527.3"
"63628" "lncRNA" "AL033527.4"
"63637" "lncRNA" "LINC02811"
"63643" "protein_coding" "TRIT1"
"63922" "protein_coding" "MYCL"
"63959" "lncRNA" "AL033527.2"
"63963" "protein_coding" "MFSD2A"
"64122" "protein_coding" "CAP1"
"64498" "protein_coding" "PPT1"
"64842" "protein_coding" "RLF"
"64864" "protein_coding" "TMCO2"
"64878" "lncRNA" "AL050341.2"
"64881" "protein_coding" "ZMPSTE24"
"64920" "protein_coding" "COL9A2"
"65143" "protein_coding" "SMAP2"
"65264" "lncRNA" "AL031985.4"
"65271" "protein_coding" "ZFP69B"
"65325" "lncRNA" "AL031985.3"
"65328" "protein_coding" "ZFP69"
"65367" "lncRNA" "AL603839.3"
"65371" "protein_coding" "EXO5"
"65460" "lncRNA" "AL603839.1"
"65464" "lncRNA" "AL603839.2"
"65468" "protein_coding" "ZNF684"
"65543" "lncRNA" "AL356379.2"
"65548" "protein_coding" "RIMS3"
"65591" "lncRNA" "AL031289.2"
"65595" "lncRNA" "AL031289.1"
"65602" "lncRNA" "NFYC-AS1"
"65605" "protein_coding" "NFYC"
"66005" "protein_coding" "KCNQ4"
"66110" "protein_coding" "CITED4"
"66118" "lncRNA" "AC119677.1"
"66123" "lncRNA" "AL391730.2"
"66127" "protein_coding" "CTPS1"
"66587" "lncRNA" "SLFNL1-AS1"
"66593" "protein_coding" "SLFNL1"
"66667" "protein_coding" "SCMH1"
"67061" "lncRNA" "AC093151.8"
"67065" "lncRNA" "AC093151.3"
"67081" "protein_coding" "FOXO6"
"67093" "lncRNA" "AC093151.2"
"67097" "protein_coding" "EDN2"
"67137" "protein_coding" "HIVEP3"
"67224" "lncRNA" "AL445933.2"
"67228" "protein_coding" "AC119676.1"
"67237" "lncRNA" "AL158216.1"
"67243" "protein_coding" "GUCA2B"
"67255" "protein_coding" "GUCA2A"
"67267" "protein_coding" "FOXJ3"
"67471" "lncRNA" "AC096540.1"
"67475" "protein_coding" "RIMKLA"
"67504" "protein_coding" "ZMYND12"
"67559" "protein_coding" "PPCS"
"67615" "protein_coding" "CCDC30"
"68793" "protein_coding" "PPIH"
"68894" "lncRNA" "AC098484.4"
"68904" "lncRNA" "AC098484.2"
"68908" "protein_coding" "YBX1"
"68966" "protein_coding" "CLDN19"
"69006" "protein_coding" "P3H1"
"69199" "protein_coding" "C1orf50"
"69223" "lncRNA" "AC098484.1"
"69227" "protein_coding" "TMEM269"
"69295" "protein_coding" "SVBP"
"69322" "protein_coding" "ERMAP"
"69439" "lncRNA" "AL512353.1"
"69465" "protein_coding" "ZNF691"
"69566" "protein_coding" "SLC2A1"
"69663" "lncRNA" "SLC2A1-AS1"
"69682" "lncRNA" "AC099795.1"
"69701" "protein_coding" "FAM183A"
"69759" "protein_coding" "EBNA1BP2"
"69848" "protein_coding" "CFAP57"
"70049" "protein_coding" "TMEM125"
"70088" "protein_coding" "C1orf210"
"70111" "protein_coding" "TIE1"
"70215" "protein_coding" "MPL"
"70292" "lncRNA" "AL139289.3"
"70295" "lncRNA" "AL139289.2"
"70300" "protein_coding" "CDC20"
"70362" "protein_coding" "ELOVL1"
"70523" "protein_coding" "MED8"
"70591" "lncRNA" "AL139289.1"
"70597" "protein_coding" "SZT2"
"71129" "lncRNA" "SZT2-AS1"
"71133" "protein_coding" "HYI"
"71334" "lncRNA" "HYI-AS1"
"71338" "protein_coding" "PTPRF"
"71794" "protein_coding" "KDM4A"
"71889" "lncRNA" "KDM4A-AS1"
"71923" "protein_coding" "ST3GAL3"
"73691" "lncRNA" "AL451062.1"
"73697" "protein_coding" "ARTN"
"73827" "lncRNA" "AL357079.1"
"73841" "protein_coding" "IPO13"
"73924" "lncRNA" "AL357079.2"
"73930" "protein_coding" "DPH2"
"74081" "protein_coding" "ATP6V0B"
"74246" "protein_coding" "B4GALT2"
"74340" "protein_coding" "CCDC24"
"74496" "protein_coding" "SLC6A9"
"74718" "lncRNA" "AL139220.2"
"74829" "protein_coding" "KLF17"
"74856" "protein_coding" "KLF18"
"74865" "protein_coding" "DMAP1"
"75060" "protein_coding" "ERI3"
"75204" "lncRNA" "ERI3-IT1"
"75208" "protein_coding" "RNF220"
"75458" "protein_coding" "TMEM53"
"75538" "protein_coding" "ARMH1"
"75775" "protein_coding" "KIF2C"
"75948" "lncRNA" "AL592166.1"
"75957" "protein_coding" "RPS8"
"76018" "protein_coding" "BEST4"
"76042" "protein_coding" "PLK3"
"76120" "protein_coding" "TCTEX1D4"
"76128" "protein_coding" "BTBD19"
"76215" "protein_coding" "PTCH2"
"76329" "protein_coding" "EIF2B3"
"76476" "protein_coding" "HECTD3"
"76585" "protein_coding" "UROD"
"76950" "protein_coding" "ZSWIM5"
"76988" "lncRNA" "LINC01144"
"76991" "protein_coding" "HPDL"
"76999" "protein_coding" "MUTYH"
"77975" "protein_coding" "TOE1"
"78027" "protein_coding" "TESK2"
"78093" "protein_coding" "CCDC163"
"78192" "protein_coding" "MMACHC"
"78224" "protein_coding" "PRDX1"
"78304" "protein_coding" "AKR1A1"
"78460" "protein_coding" "NASP"
"78896" "protein_coding" "CCDC17"
"79053" "protein_coding" "GPBP1L1"
"79160" "protein_coding" "TMEM69"
"79175" "protein_coding" "IPP"
"79231" "lncRNA" "AL604028.1"
"79235" "protein_coding" "MAST2"
"79424" "protein_coding" "PIK3R3"
"79554" "lncRNA" "AL358075.1"
"79558" "lncRNA" "AL358075.2"
"79562" "protein_coding" "TSPAN1"
"79635" "protein_coding" "P3R3URF"
"79645" "protein_coding" "POMGNT1"
"79826" "protein_coding" "LURAP1"
"79836" "protein_coding" "RAD54L"
"80232" "protein_coding" "LRRC41"
"80385" "protein_coding" "UQCRH"
"80433" "protein_coding" "NSUN4"
"80551" "protein_coding" "FAAH"
"80630" "lncRNA" "LINC01398"
"80648" "protein_coding" "DMBX1"
"80675" "protein_coding" "TMEM275"
"80685" "lncRNA" "MKNK1-AS1"
"80702" "protein_coding" "KNCN"
"80734" "protein_coding" "MKNK1"
"81192" "protein_coding" "MOB3C"
"81234" "protein_coding" "ATPAF1"
"81471" "protein_coding" "TEX38"
"81506" "lncRNA" "EFCAB14-AS1"
"81516" "protein_coding" "EFCAB14"
"81634" "protein_coding" "CYP4B1"
"81896" "protein_coding" "CYP4A11"
"82104" "protein_coding" "CYP4X1"
"82138" "protein_coding" "CYP4Z1"
"82172" "lncRNA" "CYP4A22-AS1"
"82178" "protein_coding" "CYP4A22"
"82338" "lncRNA" "LINC00853"
"82342" "protein_coding" "PDZK1IP1"
"82378" "protein_coding" "TAL1"
"82422" "lncRNA" "AL135960.1"
"82426" "protein_coding" "STIL"
"82654" "protein_coding" "CMPK1"
"82715" "lncRNA" "LINC01389"
"82720" "protein_coding" "FOXE3"
"82728" "lncRNA" "FOXD2-AS1"
"82731" "protein_coding" "FOXD2"
"82739" "lncRNA" "LINC01738"
"82744" "protein_coding" "TRABD2B"
"82769" "lncRNA" "AL691459.1"
"82773" "lncRNA" "AC096541.1"
"82777" "lncRNA" "LINC02794"
"82794" "lncRNA" "AL356289.1"
"82798" "lncRNA" "AL109659.1"
"82805" "protein_coding" "SLC5A9"
"83001" "lncRNA" "AL109659.2"
"83004" "protein_coding" "SPATA6"
"83182" "protein_coding" "AGBL4"
"83299" "lncRNA" "AL391844.1"
"83303" "protein_coding" "BEND5"
"83341" "lncRNA" "AL645507.1"
"83345" "lncRNA" "AC099788.1"
"83351" "lncRNA" "AL590432.1"
"83357" "lncRNA" "AGBL4-IT1"
"83363" "protein_coding" "ELAVL4"
"83657" "lncRNA" "AL592182.2"
"83661" "lncRNA" "AL592182.1"
"83665" "lncRNA" "LINC02808"
"83704" "lncRNA" "AL592182.3"
"83709" "protein_coding" "DMRTA2"
"83730" "lncRNA" "AL049637.2"
"83735" "protein_coding" "FAF1"
"83865" "lncRNA" "AL049637.1"
"83872" "protein_coding" "CDKN2C"
"83906" "protein_coding" "C1orf185"
"83966" "lncRNA" "LINC01562"
"83970" "protein_coding" "RNF11"
"83988" "lncRNA" "AL162430.2"
"83992" "protein_coding" "TTC39A"
"84404" "lncRNA" "TTC39A-AS1"
"84413" "protein_coding" "EPS15"
"84578" "lncRNA" "AC104170.2"
"84582" "lncRNA" "AC104170.1"
"84590" "protein_coding" "OSBPL9"
"85335" "protein_coding" "NRDC"
"85717" "lncRNA" "AL050343.2"
"85730" "lncRNA" "AL050343.3"
"85733" "protein_coding" "RAB3B"
"85748" "protein_coding" "TXNDC12"
"85807" "protein_coding" "KTI12"
"85815" "lncRNA" "AL445685.1"
"85819" "lncRNA" "TXNDC12-AS1"
"85824" "protein_coding" "BTF3L4"
"85922" "protein_coding" "ZFYVE9"
"86059" "protein_coding" "CC2D1B"
"86320" "lncRNA" "AL513218.1"
"86323" "lncRNA" "AL513218.2"
"86327" "protein_coding" "ORC1"
"86406" "protein_coding" "PRPF38A"
"86445" "protein_coding" "TUT4"
"86849" "lncRNA" "AL591167.1"
"86852" "protein_coding" "GPX7"
"86867" "protein_coding" "SHISAL2A"
"86896" "protein_coding" "COA7"
"86912" "protein_coding" "ZYG11B"
"86979" "protein_coding" "ZYG11A"
"87077" "lncRNA" "AC099677.4"
"87081" "protein_coding" "ECHDC2"
"87352" "protein_coding" "SCP2"
"87708" "protein_coding" "PODN"
"87826" "lncRNA" "AL445183.1"
"87830" "protein_coding" "SLC1A7"
"87974" "lncRNA" "AL445183.2"
"87978" "protein_coding" "CPT2"
"88120" "lncRNA" "AL606760.2"
"88128" "protein_coding" "CZIB"
"88178" "lncRNA" "AL606760.3"
"88181" "protein_coding" "MAGOH"
"88218" "lncRNA" "AL606760.1"
"88231" "protein_coding" "LRP8"
"89146" "lncRNA" "AL355483.3"
"89150" "lncRNA" "AL355483.1"
"89154" "lncRNA" "AL355483.2"
"89162" "lncRNA" "LINC01771"
"89167" "lncRNA" "AC119428.2"
"89173" "lncRNA" "AC119428.1"
"89177" "lncRNA" "LINC02812"
"89185" "protein_coding" "DMRTB1"
"89203" "protein_coding" "GLIS1"
"89254" "protein_coding" "NDC1"
"89302" "protein_coding" "YIPF1"
"89415" "protein_coding" "DIO1"
"89616" "protein_coding" "HSPB11"
"89682" "protein_coding" "LRRC42"
"89757" "protein_coding" "LDLRAD1"
"89816" "protein_coding" "TMEM59"
"89960" "protein_coding" "TCEANC2"
"90019" "protein_coding" "CDCP2"
"90049" "lncRNA" "AL357673.2"
"90053" "protein_coding" "CYB5RL"
"90181" "protein_coding" "MRPL37"
"90257" "protein_coding" "SSBP3"
"90567" "lncRNA" "SSBP3-AS1"
"90570" "lncRNA" "AL161644.1"
"90574" "lncRNA" "AL035415.1"
"90578" "lncRNA" "AC099796.2"
"90583" "lncRNA" "LINC02784"
"90587" "protein_coding" "ACOT11"
"90692" "protein_coding" "FAM151A"
"90733" "lncRNA" "AL590093.1"
"90737" "protein_coding" "MROH7"
"91185" "protein_coding" "TTC4"
"91229" "protein_coding" "PARS2"
"91239" "protein_coding" "TTC22"
"91294" "lncRNA" "AC096536.1"
"91298" "protein_coding" "LEXM"
"91351" "protein_coding" "DHCR24"
"91556" "lncRNA" "AC096536.3"
"91562" "lncRNA" "AC096536.2"
"91566" "lncRNA" "DHCR24-DT"
"91580" "lncRNA" "AL590440.2"
"91600" "protein_coding" "TMEM61"
"91612" "lncRNA" "AL590440.1"
"91616" "protein_coding" "BSND"
"91630" "protein_coding" "PCSK9"
"91669" "protein_coding" "USP24"
"91853" "lncRNA" "MIR4422HG"
"91860" "lncRNA" "AL603840.1"
"91926" "lncRNA" "LINC01755"
"91939" "lncRNA" "LINC01753"
"91954" "lncRNA" "AL353681.1"
"91959" "lncRNA" "AC119674.1"
"92067" "lncRNA" "LINC01767"
"92095" "protein_coding" "PLPP3"
"92129" "protein_coding" "PRKAA2"
"92177" "protein_coding" "FYB2"
"92260" "lncRNA" "AL360295.1"
"92264" "protein_coding" "C8A"
"92292" "protein_coding" "C8B"
"92396" "lncRNA" "AL161740.1"
"92402" "protein_coding" "DAB1"
"92627" "lncRNA" "AL390243.1"
"92631" "lncRNA" "DAB1-AS1"
"92742" "lncRNA" "AL445193.2"
"92749" "protein_coding" "OMA1"
"92866" "lncRNA" "AL035411.3"
"92870" "protein_coding" "TACSTD2"
"92878" "protein_coding" "MYSM1"
"93187" "lncRNA" "AL136985.3"
"93201" "protein_coding" "JUN"
"93209" "lncRNA" "LINC01135"
"93229" "lncRNA" "AL136985.2"
"93232" "lncRNA" "AL136985.1"
"93237" "lncRNA" "LINC02777"
"93288" "lncRNA" "LINC01358"
"93441" "lncRNA" "AL592431.2"
"93445" "lncRNA" "AL592431.1"
"93450" "lncRNA" "AC093425.1"
"93504" "lncRNA" "AC093424.1"
"93507" "protein_coding" "FGGY"
"94009" "lncRNA" "AL035416.1"
"94013" "protein_coding" "HOOK1"
"94114" "protein_coding" "CYP2J2"
"94218" "protein_coding" "C1orf87"
"94287" "lncRNA" "LINC02778"
"94298" "lncRNA" "LINC01748"
"94467" "lncRNA" "AC099792.1"
"94539" "protein_coding" "NFIA"
"95003" "lncRNA" "NFIA-AS2"
"95032" "lncRNA" "NFIA-AS1"
"95062" "lncRNA" "AC099791.3"
"95067" "lncRNA" "AC099791.4"
"95071" "protein_coding" "TM2D1"
"95227" "lncRNA" "AC099791.2"
"95230" "protein_coding" "PATJ"
"95939" "protein_coding" "L1TD1"
"95953" "protein_coding" "KANK4"
"96034" "protein_coding" "USP1"
"96103" "protein_coding" "DOCK7"
"97115" "protein_coding" "ANGPTL3"
"97142" "lncRNA" "AC103923.1"
"97146" "protein_coding" "ATG4C"
"97240" "lncRNA" "AC099794.1"
"97244" "lncRNA" "LINC01739"
"97263" "lncRNA" "AL162400.3"
"97270" "lncRNA" "AL162400.1"
"97274" "lncRNA" "AL162400.2"
"97278" "lncRNA" "AC096543.1"
"97283" "lncRNA" "LINC00466"
"97565" "lncRNA" "AC096543.2"
"97569" "lncRNA" "FOXD3-AS1"
"97590" "protein_coding" "FOXD3"
"97598" "protein_coding" "ALG6"
"97843" "protein_coding" "ITGB3BP"
"97981" "lncRNA" "BX004807.1"
"97985" "protein_coding" "EFCAB7"
"98045" "lncRNA" "DLEU2L"
"98048" "protein_coding" "PGM1"
"98165" "protein_coding" "ROR1"
"98235" "lncRNA" "ROR1-AS1"
"98254" "lncRNA" "AL445205.1"
"98258" "protein_coding" "UBE2U"
"98360" "protein_coding" "CACHD1"
"98596" "protein_coding" "RAVER2"
"98676" "protein_coding" "JAK1"
"99438" "lncRNA" "LINC01359"
"99590" "lncRNA" "AL357078.2"
"99593" "protein_coding" "AK4"
"99683" "protein_coding" "DNAJC6"
"99860" "lncRNA" "AL139294.1"
"99864" "protein_coding" "LEPROT"
"99932" "protein_coding" "LEPR"
"100213" "lncRNA" "AC119800.1"
"100217" "lncRNA" "AL513493.1"
"100222" "protein_coding" "PDE4B"
"100484" "lncRNA" "AL590783.1"
"100489" "protein_coding" "SGIP1"
"100750" "lncRNA" "AL139147.1"
"100754" "protein_coding" "TCTEX1D1"
"100805" "protein_coding" "INSL5"
"100815" "protein_coding" "WDR78"
"101012" "lncRNA" "AL592161.1"
"101016" "protein_coding" "MIER1"
"101317" "protein_coding" "SLC35D1"
"101347" "protein_coding" "C1orf141"
"101489" "lncRNA" "AL133320.2"
"101492" "protein_coding" "IL23R"
"101588" "protein_coding" "IL12RB2"
"101784" "protein_coding" "SERBP1"
"101888" "lncRNA" "LINC01702"
"101931" "protein_coding" "GADD45A"
"101995" "protein_coding" "GNG12"
"102012" "lncRNA" "GNG12-AS1"
"102042" "protein_coding" "DIRAS3"
"102065" "protein_coding" "WLS"
"102264" "protein_coding" "RPE65"
"102298" "protein_coding" "DEPDC1"
"102402" "lncRNA" "AL138789.1"
"102406" "lncRNA" "DEPDC1-AS1"
"102411" "lncRNA" "AL035412.1"
"102416" "lncRNA" "AL033530.1"
"102431" "lncRNA" "AL691520.1"
"102437" "lncRNA" "LINC01707"
"102481" "lncRNA" "LINC02791"
"102490" "lncRNA" "LINC01758"
"102494" "lncRNA" "AL359894.1"
"102502" "protein_coding" "LRRC7"
"102799" "lncRNA" "AL117353.1"
"102803" "lncRNA" "AL158840.1"
"102812" "protein_coding" "LRRC40"
"102848" "protein_coding" "SRSF11"
"103052" "lncRNA" "AL353771.1"
"103056" "protein_coding" "ANKRD13C"
"103133" "protein_coding" "HHLA3"
"103209" "lncRNA" "AL158839.1"
"103213" "protein_coding" "CTH"
"103308" "lncRNA" "AL354872.2"
"103311" "lncRNA" "LINC01788"
"103332" "lncRNA" "AL513285.1"
"103336" "protein_coding" "PTGER3"
"103501" "lncRNA" "AL031429.1"
"103506" "lncRNA" "AL031429.2"
"103509" "lncRNA" "ZRANB2-AS1"
"103516" "protein_coding" "ZRANB2"
"103608" "lncRNA" "ZRANB2-AS2"
"103923" "protein_coding" "NEGR1"
"103973" "lncRNA" "AL354949.1"
"103977" "lncRNA" "NEGR1-IT1"
"103982" "lncRNA" "AL513166.1"
"104019" "lncRNA" "AL583808.1"
"104071" "lncRNA" "LINC02796"
"104080" "lncRNA" "LINC02797"
"104090" "lncRNA" "LINC01360"
"104163" "lncRNA" "LINC02238"
"104171" "lncRNA" "AL591463.1"
"104184" "protein_coding" "LRRIQ3"
"104300" "protein_coding" "FPGT"
"104398" "protein_coding" "TNNI3K"
"104507" "lncRNA" "AC093158.1"
"104516" "lncRNA" "AC105271.1"
"104523" "protein_coding" "LRRC53"
"104539" "protein_coding" "ERICH3"
"104618" "lncRNA" "ERICH3-AS1"
"104630" "lncRNA" "AC135803.1"
"104633" "protein_coding" "CRYZ"
"104759" "protein_coding" "TYW3"
"104838" "lncRNA" "AC133865.1"
"104842" "lncRNA" "AC099786.3"
"104845" "lncRNA" "AC099786.1"
"104849" "protein_coding" "LHX8"
"104900" "lncRNA" "AC099786.2"
"104904" "protein_coding" "SLC44A5"
"105022" "protein_coding" "ACADM"
"105332" "protein_coding" "RABGGTB"
"105447" "protein_coding" "MSH4"
"105493" "protein_coding" "ASB17"
"105505" "lncRNA" "AC092813.1"
"105697" "lncRNA" "AC092813.2"
"105705" "protein_coding" "ST6GALNAC3"
"105732" "lncRNA" "AC104458.1"
"105735" "lncRNA" "LINC02567"
"105740" "protein_coding" "ST6GALNAC5"
"105782" "lncRNA" "AL035409.1"
"105792" "protein_coding" "PIGK"
"105889" "lncRNA" "AC093433.2"
"105893" "protein_coding" "AK5"
"106035" "lncRNA" "AC095030.1"
"106039" "lncRNA" "AC093575.1"
"106043" "protein_coding" "AC118549.1"
"106182" "protein_coding" "USP33"
"106526" "protein_coding" "MIGA1"
"106828" "lncRNA" "NEXN-AS1"
"106833" "protein_coding" "NEXN"
"106975" "protein_coding" "FUBP1"
"107175" "protein_coding" "DNAJB4"
"107211" "protein_coding" "GIPC2"
"107233" "lncRNA" "AC103591.3"
"107236" "lncRNA" "AC103591.4"
"107240" "lncRNA" "AC096531.2"
"107255" "protein_coding" "PTGFR"
"107308" "protein_coding" "IFI44L"
"107396" "protein_coding" "IFI44"
"107478" "protein_coding" "ADGRL4"
"107826" "lncRNA" "AL353651.2"
"107830" "lncRNA" "AL353651.1"
"107834" "lncRNA" "LINC02792"
"107838" "lncRNA" "AC099671.1"
"107843" "lncRNA" "AC098657.2"
"107846" "lncRNA" "AL606519.1"
"107850" "lncRNA" "AL136234.1"
"107854" "lncRNA" "LINC01781"
"107872" "lncRNA" "AC093154.1"
"107876" "protein_coding" "ADGRL2"
"108593" "lncRNA" "AL138799.2"
"108597" "lncRNA" "AL138799.4"
"108603" "lncRNA" "AC117944.1"
"108608" "lncRNA" "AL157944.1"
"108642" "lncRNA" "LINC01362"
"108676" "lncRNA" "LINC01361"
"108691" "lncRNA" "AC116099.1"
"108701" "lncRNA" "LINC01712"
"108717" "lncRNA" "LINC01725"
"108748" "lncRNA" "AL035706.1"
"108753" "protein_coding" "TTLL7"
"109052" "lncRNA" "TTLL7-IT1"
"109056" "lncRNA" "AC104454.2"
"109060" "lncRNA" "AL359504.2"
"109063" "protein_coding" "PRKACB"
"109494" "protein_coding" "SAMD13"
"109588" "protein_coding" "DNASE2B"
"109619" "lncRNA" "AL844170.1"
"109623" "protein_coding" "RPF1"
"109658" "protein_coding" "GNG5"
"109687" "protein_coding" "SPATA1"
"109742" "protein_coding" "CTBS"
"109805" "lncRNA" "AL359762.1"
"109814" "lncRNA" "AL359762.2"
"109819" "lncRNA" "LINC01555"
"109824" "protein_coding" "SSX2IP"
"110029" "lncRNA" "AC104169.1"
"110033" "protein_coding" "LPAR3"
"110058" "protein_coding" "MCOLN2"
"110173" "protein_coding" "WDR63"
"110396" "protein_coding" "MCOLN3"
"110516" "protein_coding" "SYDE2"
"110540" "protein_coding" "C1orf52"
"110572" "protein_coding" "BCL10"
"110612" "lncRNA" "AL078459.1"
"110627" "protein_coding" "DDAH1"
"110708" "lncRNA" "AL360219.1"
"110711" "lncRNA" "AC092807.3"
"110733" "lncRNA" "AC092807.2"
"110736" "protein_coding" "CCN1"
"110755" "lncRNA" "AC092807.1"
"110759" "protein_coding" "ZNHIT6"
"110812" "protein_coding" "COL24A1"
